Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2902776	99.96571%	0.999	0.994	0.928	0.798	0.505	0.000
lossless_rebaler	1	2902735	99.96701%	0.999	0.993	0.926	0.859	0.737	0.200
lossless_medaka	1	2903448	99.991%	1.000	0.999	0.990	0.969	0.895	0.200
LFZip_maxerror_1_flye	1	2901349	99.96501%	0.999	0.993	0.926	0.808	0.526	0.000
LFZip_maxerror_1_rebaler	1	2901356	99.96401%	0.999	0.993	0.925	0.849	0.684	0.200
LFZip_maxerror_1_medaka	1	2902065	99.991%	1.000	0.999	0.991	0.974	0.895	0.400
SZ_maxerror_1_flye	1	2901337	99.96401%	0.999	0.994	0.925	0.799	0.495	0.000
SZ_maxerror_1_rebaler	1	2901353	99.96701%	0.999	0.993	0.924	0.854	0.663	0.000
SZ_maxerror_1_medaka	1	2902079	99.993%	1.000	1.000	0.992	0.974	0.894	0.167
LFZip_maxerror_2_flye	1	2901342	99.96401%	0.999	0.994	0.926	0.804	0.505	0.000
LFZip_maxerror_2_rebaler	1	2901353	99.96394%	0.999	0.992	0.923	0.856	0.684	0.400
LFZip_maxerror_2_medaka	1	2902063	99.99%	1.000	0.999	0.990	0.971	0.884	0.600
SZ_maxerror_2_flye	1	2901334	99.96501%	0.999	0.994	0.928	0.801	0.453	0.000
SZ_maxerror_2_rebaler	1	2901353	99.96601%	0.999	0.992	0.924	0.857	0.705	0.400
SZ_maxerror_2_medaka	1	2902075	99.992%	1.000	0.999	0.991	0.974	0.885	0.600
LFZip_maxerror_3_flye	1	2901322	99.96401%	0.999	0.993	0.925	0.801	0.505	0.000
LFZip_maxerror_3_rebaler	1	2901325	99.96501%	0.999	0.992	0.924	0.850	0.674	0.400
LFZip_maxerror_3_medaka	1	2902057	99.991%	1.000	0.999	0.991	0.965	0.895	0.600
SZ_maxerror_3_flye	1	2901314	99.96601%	0.999	0.993	0.923	0.810	0.516	0.000
SZ_maxerror_3_rebaler	1	2901350	99.96201%	0.999	0.992	0.924	0.863	0.653	0.200
SZ_maxerror_3_medaka	1	2902067	99.99%	1.000	0.999	0.990	0.975	0.884	0.400
LFZip_maxerror_4_flye	1	2901288	99.96201%	0.999	0.993	0.919	0.802	0.453	0.000
LFZip_maxerror_4_rebaler	1	2901286	99.96101%	0.999	0.991	0.920	0.861	0.674	0.400
LFZip_maxerror_4_medaka	1	2902059	99.991%	1.000	0.999	0.991	0.971	0.854	0.200
SZ_maxerror_4_flye	1	2901299	99.96401%	0.999	0.993	0.921	0.805	0.474	0.000
SZ_maxerror_4_rebaler	1	2901321	99.96301%	0.999	0.992	0.918	0.851	0.680	0.200
SZ_maxerror_4_medaka	1	2902084	99.991%	1.000	0.999	0.991	0.972	0.874	0.400
LFZip_maxerror_5_flye	1	2901233	99.96201%	0.999	0.993	0.918	0.789	0.421	0.000
LFZip_maxerror_5_rebaler	1	2901265	99.96101%	0.999	0.992	0.917	0.851	0.663	0.400
LFZip_maxerror_5_medaka	1	2902065	99.99%	1.000	0.999	0.990	0.967	0.884	0.400
SZ_maxerror_5_flye	1	2901257	99.96301%	0.999	0.992	0.918	0.795	0.474	0.000
SZ_maxerror_5_rebaler	1	2901292	99.96301%	0.999	0.992	0.916	0.860	0.695	0.600
SZ_maxerror_5_medaka	1	2902055	99.992%	1.000	0.999	0.991	0.972	0.842	0.800
LFZip_maxerror_6_flye	1	2901103	99.95702%	0.998	0.991	0.908	0.757	0.474	0.000
LFZip_maxerror_6_rebaler	1	2901168	99.95602%	0.999	0.991	0.913	0.829	0.632	0.600
LFZip_maxerror_6_medaka	1	2902025	99.991%	1.000	0.999	0.989	0.965	0.874	0.600
SZ_maxerror_6_flye	1	2901251	99.96201%	0.999	0.992	0.920	0.793	0.558	0.000
SZ_maxerror_6_rebaler	1	2901258	99.96001%	0.999	0.991	0.918	0.854	0.747	0.400
SZ_maxerror_6_medaka	1	2902047	99.992%	1.000	0.999	0.992	0.970	0.905	0.400
LFZip_maxerror_7_flye	1	2901002	99.95302%	0.998	0.990	0.896	0.757	0.453	0.000
LFZip_maxerror_7_rebaler	1	2901056	99.95202%	0.998	0.988	0.900	0.829	0.726	0.600
LFZip_maxerror_7_medaka	1	2902023	99.989%	1.000	0.998	0.986	0.962	0.874	0.600
SZ_maxerror_7_flye	1	2901175	99.95802%	0.999	0.991	0.917	0.774	0.421	0.000
SZ_maxerror_7_rebaler	1	2901230	99.95702%	0.999	0.990	0.915	0.854	0.663	0.400
SZ_maxerror_7_medaka	1	2902043	99.99%	1.000	0.999	0.988	0.964	0.853	0.333
LFZip_maxerror_8_flye	1	2900838	99.94603%	0.998	0.988	0.882	0.715	0.316	0.000
LFZip_maxerror_8_rebaler	1	2900919	99.94503%	0.998	0.987	0.886	0.814	0.632	0.600
LFZip_maxerror_8_medaka	1	2901989	99.988%	1.000	0.998	0.982	0.959	0.874	0.200
SZ_maxerror_8_flye	1	2901074	99.95402%	0.998	0.990	0.903	0.764	0.421	0.000
SZ_maxerror_8_rebaler	1	2901134	99.95402%	0.998	0.989	0.904	0.838	0.674	0.400
SZ_maxerror_8_medaka	1	2902054	99.989%	1.000	0.998	0.987	0.970	0.832	0.600
LFZip_maxerror_9_flye	1	2900928	99.94802%	0.998	0.988	0.891	0.732	0.421	0.000
LFZip_maxerror_9_rebaler	1	2901035	99.95102%	0.998	0.988	0.899	0.820	0.674	0.400
LFZip_maxerror_9_medaka	1	2902002	99.99%	1.000	0.999	0.985	0.956	0.853	0.400
SZ_maxerror_9_flye	1	2900888	99.94802%	0.998	0.988	0.884	0.728	0.432	0.000
SZ_maxerror_9_rebaler	1	2900976	99.94902%	0.998	0.987	0.896	0.808	0.684	0.200
SZ_maxerror_9_medaka	1	2902002	99.988%	1.000	0.998	0.984	0.950	0.895	0.200
LFZip_maxerror_10_flye	1	2899812	99.90558%	0.995	0.975	0.798	0.578	0.326	0.000
LFZip_maxerror_10_rebaler	1	2900132	99.91506%	0.995	0.978	0.828	0.744	0.670	0.500
LFZip_maxerror_10_medaka	1	2901798	99.979%	0.999	0.996	0.964	0.915	0.779	0.400
SZ_maxerror_10_flye	1	2900109	99.91706%	0.995	0.979	0.818	0.629	0.326	0.000
SZ_maxerror_10_rebaler	1	2900361	99.92505%	0.996	0.980	0.840	0.777	0.656	0.400
SZ_maxerror_10_medaka	1	2901837	99.982%	0.999	0.997	0.968	0.931	0.792	0.200
