Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2900889	99.85909%	0.991	0.965	0.833	0.712	0.464	0.000
lossless_rebaler	1	2900841	99.82915%	0.989	0.958	0.837	0.765	0.584	0.143
lossless_medaka	1	2901404	99.89107%	0.993	0.970	0.898	0.839	0.729	0.333
LFZip_maxerror_1_flye	1	2900952	99.85211%	0.990	0.966	0.831	0.712	0.485	0.000
LFZip_maxerror_1_rebaler	1	2900934	99.83717%	0.988	0.959	0.834	0.764	0.598	0.286
LFZip_maxerror_1_medaka	1	2901503	99.88706%	0.992	0.972	0.897	0.834	0.720	0.400
SZ_maxerror_1_flye	1	2900958	99.86109%	0.990	0.966	0.835	0.706	0.439	0.000
SZ_maxerror_1_rebaler	1	2900862	99.83518%	0.988	0.958	0.835	0.766	0.588	0.286
SZ_maxerror_1_medaka	1	2901428	99.89306%	0.992	0.970	0.899	0.831	0.670	0.400
LFZip_maxerror_2_flye	1	2900942	99.83912%	0.991	0.965	0.831	0.701	0.440	0.000
LFZip_maxerror_2_rebaler	1	2900860	99.80219%	0.988	0.957	0.828	0.756	0.538	0.375
LFZip_maxerror_2_medaka	1	2901413	99.8701%	0.992	0.972	0.890	0.833	0.624	0.500
SZ_maxerror_2_flye	1	2900913	99.86313%	0.990	0.964	0.833	0.713	0.398	0.000
SZ_maxerror_2_rebaler	1	2900854	99.84115%	0.988	0.958	0.840	0.774	0.594	0.286
SZ_maxerror_2_medaka	1	2901429	99.89706%	0.992	0.971	0.905	0.835	0.717	0.500
LFZip_maxerror_3_flye	1	2900921	99.83318%	0.990	0.965	0.831	0.710	0.442	0.200
LFZip_maxerror_3_rebaler	1	2900843	99.80522%	0.988	0.957	0.831	0.747	0.538	0.222
LFZip_maxerror_3_medaka	1	2901460	99.86808%	0.992	0.970	0.892	0.827	0.610	0.333
SZ_maxerror_3_flye	1	2900862	99.85611%	0.990	0.963	0.827	0.707	0.510	0.000
SZ_maxerror_3_rebaler	1	2900908	99.82716%	0.988	0.957	0.826	0.753	0.596	0.250
SZ_maxerror_3_medaka	1	2901442	99.88206%	0.991	0.971	0.897	0.838	0.722	0.125
LFZip_maxerror_4_flye	1	2900812	99.85112%	0.989	0.961	0.825	0.684	0.427	0.000
LFZip_maxerror_4_rebaler	1	2900816	99.8272%	0.987	0.955	0.833	0.751	0.561	0.600
LFZip_maxerror_4_medaka	1	2901438	99.88107%	0.992	0.969	0.899	0.833	0.708	0.333
SZ_maxerror_4_flye	1	2900904	99.83219%	0.989	0.964	0.829	0.699	0.470	0.000
SZ_maxerror_4_rebaler	1	2900851	99.80523%	0.987	0.955	0.832	0.746	0.585	0.333
SZ_maxerror_4_medaka	1	2901401	99.871%	0.992	0.971	0.892	0.822	0.684	0.333
LFZip_maxerror_5_flye	1	2900793	99.82118%	0.989	0.960	0.825	0.696	0.406	0.000
LFZip_maxerror_5_rebaler	1	2900706	99.77532%	0.986	0.952	0.824	0.742	0.490	0.500
LFZip_maxerror_5_medaka	1	2901327	99.8521%	0.991	0.966	0.893	0.828	0.564	0.400
SZ_maxerror_5_flye	1	2900841	99.83513%	0.988	0.959	0.824	0.705	0.434	0.000
SZ_maxerror_5_rebaler	1	2900899	99.79522%	0.986	0.954	0.827	0.746	0.578	0.600
SZ_maxerror_5_medaka	1	2901411	99.86909%	0.991	0.969	0.892	0.836	0.694	0.333
LFZip_maxerror_6_flye	1	2900547	99.79289%	0.987	0.955	0.805	0.674	0.427	0.000
LFZip_maxerror_6_rebaler	1	2900625	99.75132%	0.984	0.946	0.813	0.732	0.500	0.444
LFZip_maxerror_6_medaka	1	2901343	99.82718%	0.990	0.964	0.877	0.813	0.694	0.667
SZ_maxerror_6_flye	1	2900806	99.8052%	0.988	0.960	0.820	0.705	0.495	0.000
SZ_maxerror_6_rebaler	1	2900822	99.76524%	0.985	0.951	0.827	0.743	0.545	0.222
SZ_maxerror_6_medaka	1	2901404	99.84703%	0.990	0.968	0.888	0.817	0.657	0.286
LFZip_maxerror_7_flye	1	2900453	99.80423%	0.986	0.951	0.799	0.667	0.448	0.200
LFZip_maxerror_7_rebaler	1	2900555	99.74337%	0.982	0.944	0.809	0.727	0.580	0.167
LFZip_maxerror_7_medaka	1	2901243	99.82216%	0.988	0.960	0.877	0.823	0.708	0.600
SZ_maxerror_7_flye	1	2900692	99.8032%	0.986	0.954	0.811	0.673	0.474	0.000
SZ_maxerror_7_rebaler	1	2900679	99.75128%	0.984	0.947	0.817	0.731	0.500	0.250
SZ_maxerror_7_medaka	1	2901349	99.82612%	0.989	0.964	0.884	0.819	0.687	0.400
LFZip_maxerror_8_flye	1	2900197	99.75035%	0.983	0.944	0.784	0.630	0.438	0.000
LFZip_maxerror_8_rebaler	1	2900353	99.71043%	0.979	0.937	0.794	0.727	0.541	0.571
LFZip_maxerror_8_medaka	1	2900979	99.80323%	0.986	0.955	0.862	0.816	0.637	0.500
SZ_maxerror_8_flye	1	2900591	99.79924%	0.986	0.950	0.802	0.680	0.429	0.000
SZ_maxerror_8_rebaler	1	2900691	99.75597%	0.982	0.945	0.812	0.710	0.604	0.300
SZ_maxerror_8_medaka	1	2901335	99.82916%	0.990	0.963	0.885	0.813	0.698	0.333
LFZip_maxerror_9_flye	1	2900402	99.74736%	0.983	0.946	0.787	0.655	0.389	0.000
LFZip_maxerror_9_rebaler	1	2900487	99.71241%	0.980	0.940	0.800	0.717	0.505	0.375
LFZip_maxerror_9_medaka	1	2901127	99.7892%	0.988	0.957	0.874	0.804	0.602	0.429
SZ_maxerror_9_flye	1	2900362	99.77322%	0.983	0.944	0.789	0.654	0.443	0.000
SZ_maxerror_9_rebaler	1	2900643	99.72737%	0.979	0.939	0.804	0.707	0.540	0.333
SZ_maxerror_9_medaka	1	2901186	99.80418%	0.986	0.957	0.880	0.792	0.656	0.200
LFZip_maxerror_10_flye	1	2898892	99.628505%	0.973	0.920	0.712	0.553	0.367	0.286
LFZip_maxerror_10_rebaler	1	2899121	99.55073%	0.970	0.914	0.733	0.636	0.491	0.444
LFZip_maxerror_10_medaka	1	2900084	99.68347%	0.979	0.938	0.813	0.745	0.576	0.500
SZ_maxerror_10_flye	1	2899209	99.66595%	0.976	0.924	0.724	0.574	0.385	0.000
SZ_maxerror_10_rebaler	1	2899455	99.576495%	0.971	0.918	0.743	0.664	0.477	0.556
SZ_maxerror_10_medaka	1	2900390	99.7102%	0.980	0.942	0.828	0.752	0.608	0.667
