Assembly	num_contigs	total_length	identity
lossless_flye	1	2900890	99.85909%
lossless_rebaler	1	2901187	99.84011%
lossless_medaka	1	2901554	99.88906%
LFZip_maxerror_1_flye	1	2900933	99.84616%
LFZip_maxerror_1_rebaler	1	2901304	99.82917%
LFZip_maxerror_1_medaka	1	2901601	99.87906%
SZ_maxerror_1_flye	1	2900962	99.84317%
SZ_maxerror_1_rebaler	1	2901290	99.82318%
SZ_maxerror_1_medaka	1	2901595	99.87978%
LFZip_maxerror_2_flye	1	2900847	99.84816%
LFZip_maxerror_2_rebaler	1	2901020	99.82615%
LFZip_maxerror_2_medaka	1	2901475	99.88009%
SZ_maxerror_2_flye	1	2900913	99.86313%
SZ_maxerror_2_rebaler	1	2901199	99.84414%
SZ_maxerror_2_medaka	1	2901573	99.89305%
LFZip_maxerror_3_flye	1	2900900	99.85114%
LFZip_maxerror_3_rebaler	1	2901189	99.82614%
LFZip_maxerror_3_medaka	1	2901589	99.88308%
SZ_maxerror_3_flye	1	2900862	99.85614%
SZ_maxerror_3_rebaler	1	2901225	99.83216%
SZ_maxerror_3_medaka	1	2901594	99.87707%
LFZip_maxerror_4_flye	1	2900941	99.83713%
LFZip_maxerror_4_rebaler	1	2901208	99.80918%
LFZip_maxerror_4_medaka	1	2901624	99.86808%
SZ_maxerror_4_flye	1	2900904	99.83219%
SZ_maxerror_4_rebaler	1	2901385	99.80519%
SZ_maxerror_4_medaka	1	2901610	99.86508%
LFZip_maxerror_5_flye	1	2900899	99.82411%
LFZip_maxerror_5_rebaler	1	2901283	99.79718%
LFZip_maxerror_5_medaka	1	2901656	99.84707%
SZ_maxerror_5_flye	1	2900839	99.83513%
SZ_maxerror_5_rebaler	1	2901160	99.81515%
SZ_maxerror_5_medaka	1	2901572	99.86708%
LFZip_maxerror_6_flye	1	2900854	99.81321%
LFZip_maxerror_6_rebaler	1	2901355	99.78323%
LFZip_maxerror_6_medaka	1	2901629	99.85109%
SZ_maxerror_6_flye	1	2900805	99.8052%
SZ_maxerror_6_rebaler	1	2901261	99.77727%
SZ_maxerror_6_medaka	1	2901619	99.85109%
LFZip_maxerror_7_flye	1	2900605	99.79821%
LFZip_maxerror_7_rebaler	1	2901140	99.75726%
LFZip_maxerror_7_medaka	1	2901600	99.82517%
SZ_maxerror_7_flye	1	2900717	99.81019%
SZ_maxerror_7_rebaler	1	2901200	99.77628%
SZ_maxerror_7_medaka	1	2901544	99.84213%
LFZip_maxerror_8_flye	1	2900621	99.77421%
LFZip_maxerror_8_rebaler	1	2901165	99.73732%
LFZip_maxerror_8_medaka	1	2901584	99.82612%
SZ_maxerror_8_flye	1	2900591	99.79924%
SZ_maxerror_8_rebaler	1	2901298	99.76125%
SZ_maxerror_8_medaka	1	2901584	99.82814%
LFZip_maxerror_9_flye	1	2900408	99.75029%
LFZip_maxerror_9_rebaler	1	2901038	99.71639%
LFZip_maxerror_9_medaka	1	2901439	99.80118%
SZ_maxerror_9_flye	1	2900370	99.74931%
SZ_maxerror_9_rebaler	1	2901188	99.72214%
SZ_maxerror_9_medaka	1	2901515	99.79614%
LFZip_maxerror_10_flye	1	2900359	99.73633%
LFZip_maxerror_10_rebaler	1	2901061	99.69732%
LFZip_maxerror_10_medaka	1	2901547	99.76315%
SZ_maxerror_10_flye	1	2899184	99.649495%
SZ_maxerror_10_rebaler	1	2900307	99.59985%
SZ_maxerror_10_medaka	1	2900635	99.70637%
