Assembly	num_contigs	total_length	identity
lossless_flye	1	2902776	99.96571%
lossless_rebaler	1	2902839	99.97101%
lossless_medaka	1	2903440	99.991%
LFZip_maxerror_1_flye	1	2901348	99.96601%
LFZip_maxerror_1_rebaler	1	2901486	99.96901%
LFZip_maxerror_1_medaka	1	2902054	99.991%
SZ_maxerror_1_flye	1	2901337	99.96401%
SZ_maxerror_1_rebaler	1	2901491	99.97001%
SZ_maxerror_1_medaka	1	2902084	99.993%
LFZip_maxerror_2_flye	1	2902732	99.96401%
LFZip_maxerror_2_rebaler	1	2902786	99.96801%
LFZip_maxerror_2_medaka	1	2903458	99.991%
SZ_maxerror_2_flye	1	2901334	99.96501%
SZ_maxerror_2_rebaler	1	2901489	99.97001%
SZ_maxerror_2_medaka	1	2902076	99.991%
LFZip_maxerror_3_flye	1	2901319	99.96401%
LFZip_maxerror_3_rebaler	1	2901474	99.96701%
LFZip_maxerror_3_medaka	1	2902084	99.991%
SZ_maxerror_3_flye	1	2901319	99.96401%
SZ_maxerror_3_rebaler	1	2901493	99.96701%
SZ_maxerror_3_medaka	1	2902062	99.99%
LFZip_maxerror_4_flye	1	2901316	99.96401%
LFZip_maxerror_4_rebaler	1	2901496	99.96801%
LFZip_maxerror_4_medaka	1	2902073	99.991%
SZ_maxerror_4_flye	1	2901299	99.96401%
SZ_maxerror_4_rebaler	1	2901483	99.96601%
SZ_maxerror_4_medaka	1	2902091	99.992%
LFZip_maxerror_5_flye	1	2901305	99.96501%
LFZip_maxerror_5_rebaler	1	2901519	99.96801%
LFZip_maxerror_5_medaka	1	2902082	99.992%
SZ_maxerror_5_flye	1	2901257	99.96301%
SZ_maxerror_5_rebaler	1	2901431	99.96601%
SZ_maxerror_5_medaka	1	2902061	99.992%
LFZip_maxerror_6_flye	1	2901212	99.96001%
LFZip_maxerror_6_rebaler	1	2901400	99.96601%
LFZip_maxerror_6_medaka	1	2902060	99.989%
SZ_maxerror_6_flye	1	2901258	99.96301%
SZ_maxerror_6_rebaler	1	2901432	99.96501%
SZ_maxerror_6_medaka	1	2902059	99.991%
LFZip_maxerror_7_flye	1	2901135	99.95702%
LFZip_maxerror_7_rebaler	1	2901385	99.96401%
LFZip_maxerror_7_medaka	1	2902063	99.99%
SZ_maxerror_7_flye	1	2901175	99.95802%
SZ_maxerror_7_rebaler	1	2901397	99.96201%
SZ_maxerror_7_medaka	1	2902049	99.991%
LFZip_maxerror_8_flye	1	2901092	99.95402%
LFZip_maxerror_8_rebaler	1	2901328	99.96001%
LFZip_maxerror_8_medaka	1	2902056	99.989%
SZ_maxerror_8_flye	1	2901074	99.95402%
SZ_maxerror_8_rebaler	1	2901334	99.96001%
SZ_maxerror_8_medaka	1	2902060	99.99%
LFZip_maxerror_9_flye	1	2901020	99.95102%
LFZip_maxerror_9_rebaler	1	2901336	99.95901%
LFZip_maxerror_9_medaka	1	2902061	99.988%
SZ_maxerror_9_flye	1	2900896	99.94702%
SZ_maxerror_9_rebaler	1	2901265	99.95702%
SZ_maxerror_9_medaka	1	2902012	99.988%
LFZip_maxerror_10_flye	1	2900886	99.94403%
LFZip_maxerror_10_rebaler	1	2901255	99.95502%
LFZip_maxerror_10_medaka	1	2902016	99.988%
SZ_maxerror_10_flye	1	2900109	99.91706%
SZ_maxerror_10_rebaler	1	2900767	99.93803%
SZ_maxerror_10_medaka	1	2901857	99.984%
