Assembly	num_contigs	total_length	identity
lossless_flye	1	5099014	99.661935%
lossless_rebaler	1	5102471	99.69465%
lossless_medaka	1	5111443	99.85608%
LFZip_maxerror_1_flye	1	5098974	99.65691000000001%
LFZip_maxerror_1_rebaler	1	5102357	99.69262%
LFZip_maxerror_1_medaka	1	5111551	99.8541%
SZ_maxerror_1_flye	1	5098883	99.657905%
SZ_maxerror_1_rebaler	1	5102461	99.69367%
SZ_maxerror_1_medaka	1	5111570	99.85606%
LFZip_maxerror_2_flye	1	5098706	99.651445%
LFZip_maxerror_2_rebaler	1	5102351	99.6898%
LFZip_maxerror_2_medaka	1	5111440	99.84809%
SZ_maxerror_2_flye	1	5098573	99.653945%
SZ_maxerror_2_rebaler	1	5102303	99.69268%
SZ_maxerror_2_medaka	1	5111424	99.85609%
LFZip_maxerror_3_flye	1	5098408	99.64793%
LFZip_maxerror_3_rebaler	1	5102280	99.67975%
LFZip_maxerror_3_medaka	1	5111379	99.8521%
SZ_maxerror_3_flye	1	5098314	99.648%
SZ_maxerror_3_rebaler	1	5102067	99.68676%
SZ_maxerror_3_medaka	1	5111340	99.8511%
LFZip_maxerror_4_flye	1	5098058	99.63951499999999%
LFZip_maxerror_4_rebaler	1	5101983	99.67684%
LFZip_maxerror_4_medaka	1	5111199	99.8501%
SZ_maxerror_4_flye	1	5097941	99.63754%
SZ_maxerror_4_rebaler	1	5101820	99.68075%
SZ_maxerror_4_medaka	1	5111234	99.85109%
LFZip_maxerror_5_flye	1	5097352	99.62903499999999%
LFZip_maxerror_5_rebaler	1	5101572	99.66674%
LFZip_maxerror_5_medaka	1	5110963	99.84311%
SZ_maxerror_5_flye	1	5097269	99.6291%
SZ_maxerror_5_rebaler	1	5101595	99.6668%
SZ_maxerror_5_medaka	1	5110977	99.8441%
LFZip_maxerror_6_flye	1	5096722	99.610735%
LFZip_maxerror_6_rebaler	1	5101214	99.65498%
LFZip_maxerror_6_medaka	1	5110798	99.84212%
SZ_maxerror_6_flye	1	5096479	99.60820000000001%
SZ_maxerror_6_rebaler	1	5100984	99.65191%
SZ_maxerror_6_medaka	1	5110765	99.84609%
LFZip_maxerror_7_flye	1	5095743	99.59281999999999%
LFZip_maxerror_7_rebaler	1	5100673	99.63801%
LFZip_maxerror_7_medaka	1	5110662	99.83512%
SZ_maxerror_7_flye	1	5095725	99.594795%
SZ_maxerror_7_rebaler	1	5100575	99.64299%
SZ_maxerror_7_medaka	1	5110479	99.83813%
LFZip_maxerror_8_flye	1	5094778	99.57391000000001%
LFZip_maxerror_8_rebaler	1	5099934	99.6216%
LFZip_maxerror_8_medaka	1	5110090	99.83014%
SZ_maxerror_8_flye	1	5094557	99.56300999999999%
SZ_maxerror_8_rebaler	1	5099963	99.62343%
SZ_maxerror_8_medaka	1	5110103	99.83014%
LFZip_maxerror_9_flye	1	5093249	99.53919%
LFZip_maxerror_9_rebaler	1	5099093	99.59827%
LFZip_maxerror_9_medaka	1	5109764	99.81815%
SZ_maxerror_9_flye	1	5093119	99.53277%
SZ_maxerror_9_rebaler	1	5099227	99.59917%
SZ_maxerror_9_medaka	1	5109715	99.81618%
LFZip_maxerror_10_flye	1	5091670	99.50296499999999%
LFZip_maxerror_10_rebaler	1	5098026	99.572755%
LFZip_maxerror_10_medaka	1	5109105	99.80719%
SZ_maxerror_10_flye	1	5090992	99.490095%
SZ_maxerror_10_rebaler	1	5097523	99.559965%
SZ_maxerror_10_medaka	1	5108902	99.79522%
