Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5101233	99.72861%	0.944	0.711	0.310	0.146	0.000	0.000
lossless_rebaler	1	5103156	99.77642%	0.968	0.761	0.529	0.485	0.194	0.231
lossless_medaka	1	5112332	99.90202%	0.991	0.971	0.887	0.840	0.652	0.256
LFZip_maxerror_1_flye	1	5101118	99.71766%	0.944	0.704	0.307	0.152	0.000	0.000
LFZip_maxerror_1_rebaler	1	5103021	99.77047%	0.968	0.761	0.524	0.495	0.172	0.308
LFZip_maxerror_1_medaka	1	5112322	99.90205%	0.991	0.969	0.895	0.846	0.656	0.282
SZ_maxerror_1_flye	1	5101334	99.72756%	0.946	0.710	0.307	0.144	0.009	0.000
SZ_maxerror_1_rebaler	1	5103101	99.77338%	0.968	0.766	0.530	0.483	0.173	0.333
SZ_maxerror_1_medaka	1	5112221	99.90403%	0.991	0.972	0.895	0.841	0.670	0.385
LFZip_maxerror_2_flye	1	5101154	99.72461%	0.943	0.707	0.305	0.142	0.009	0.000
LFZip_maxerror_2_rebaler	1	5103008	99.77242%	0.967	0.763	0.516	0.509	0.158	0.256
LFZip_maxerror_2_medaka	1	5112280	99.90602%	0.992	0.970	0.900	0.850	0.636	0.415
SZ_maxerror_2_flye	1	5101003	99.71964%	0.944	0.700	0.302	0.148	0.000	0.000
SZ_maxerror_2_rebaler	1	5102982	99.77039%	0.968	0.758	0.522	0.511	0.186	0.308
SZ_maxerror_2_medaka	1	5112332	99.90503%	0.992	0.972	0.894	0.841	0.643	0.375
LFZip_maxerror_3_flye	1	5100995	99.72361%	0.944	0.699	0.305	0.140	0.005	0.000
LFZip_maxerror_3_rebaler	1	5102924	99.77143%	0.968	0.760	0.527	0.496	0.164	0.237
LFZip_maxerror_3_medaka	1	5112231	99.90303%	0.992	0.968	0.892	0.845	0.602	0.400
SZ_maxerror_3_flye	1	5100896	99.71868%	0.943	0.699	0.300	0.140	0.005	0.000
SZ_maxerror_3_rebaler	1	5102941	99.77143%	0.968	0.757	0.519	0.507	0.195	0.256
SZ_maxerror_3_medaka	1	5112226	99.90204%	0.992	0.969	0.891	0.851	0.662	0.385
LFZip_maxerror_4_flye	1	5100580	99.71466%	0.940	0.691	0.290	0.130	0.000	0.000
LFZip_maxerror_4_rebaler	1	5102595	99.76247%	0.966	0.756	0.515	0.487	0.174	0.256
LFZip_maxerror_4_medaka	1	5112139	99.90303%	0.991	0.967	0.888	0.841	0.656	0.538
SZ_maxerror_4_flye	1	5100479	99.71173%	0.940	0.691	0.286	0.129	0.000	0.000
SZ_maxerror_4_rebaler	1	5102549	99.76645%	0.966	0.751	0.504	0.520	0.158	0.308
SZ_maxerror_4_medaka	1	5112055	99.90403%	0.992	0.966	0.885	0.836	0.658	0.282
LFZip_maxerror_5_flye	1	5100157	99.70376%	0.937	0.685	0.277	0.133	0.005	0.000
LFZip_maxerror_5_rebaler	1	5102531	99.7565%	0.967	0.752	0.507	0.497	0.195	0.205
