Assembly	num_contigs	total_length	identity
lossless_flye	1	5100226	99.70971%
lossless_rebaler	1	5104888	99.78435%
lossless_medaka	1	5112070	99.91202%
LFZip_maxerror_1_flye	1	5100052	99.70969%
LFZip_maxerror_1_rebaler	1	5104977	99.78736%
LFZip_maxerror_1_medaka	1	5112044	99.91003%
SZ_maxerror_1_flye	1	5100088	99.70969%
SZ_maxerror_1_rebaler	1	5104841	99.78733%
SZ_maxerror_1_medaka	1	5112076	99.91203%
LFZip_maxerror_2_flye	1	5099841	99.70275%
LFZip_maxerror_2_rebaler	1	5104768	99.78733%
LFZip_maxerror_2_medaka	1	5111964	99.90903%
SZ_maxerror_2_flye	1	5099937	99.70623%
SZ_maxerror_2_rebaler	1	5104854	99.78932%
SZ_maxerror_2_medaka	1	5112054	99.91103%
LFZip_maxerror_3_flye	1	5099634	99.699765%
LFZip_maxerror_3_rebaler	1	5104687	99.78135%
LFZip_maxerror_3_medaka	1	5111979	99.91402%
SZ_maxerror_3_flye	1	5099626	99.698285%
SZ_maxerror_3_rebaler	1	5104767	99.78734%
SZ_maxerror_3_medaka	1	5111943	99.91003%
LFZip_maxerror_4_flye	1	5099410	99.69878%
LFZip_maxerror_4_rebaler	1	5104661	99.78334%
LFZip_maxerror_4_medaka	1	5111944	99.90803%
SZ_maxerror_4_flye	1	5099362	99.693815%
SZ_maxerror_4_rebaler	1	5104566	99.77638%
SZ_maxerror_4_medaka	1	5111948	99.91003%
LFZip_maxerror_5_flye	1	5098939	99.684325%
LFZip_maxerror_5_rebaler	1	5104372	99.77639%
LFZip_maxerror_5_medaka	1	5111732	99.91003%
SZ_maxerror_5_flye	1	5098821	99.68084999999999%
SZ_maxerror_5_rebaler	1	5104393	99.7724%
SZ_maxerror_5_medaka	1	5111839	99.90902%
LFZip_maxerror_6_flye	1	5098266	99.668905%
LFZip_maxerror_6_rebaler	1	5104033	99.76941%
LFZip_maxerror_6_medaka	1	5111639	99.90603%
SZ_maxerror_6_flye	1	5098254	99.668915%
SZ_maxerror_6_rebaler	1	5104147	99.76839%
SZ_maxerror_6_medaka	1	5111650	99.90902%
LFZip_maxerror_7_flye	1	5097499	99.65853%
LFZip_maxerror_7_rebaler	1	5103759	99.75942%
LFZip_maxerror_7_medaka	1	5111464	99.90504%
SZ_maxerror_7_flye	1	5097459	99.655025%
SZ_maxerror_7_rebaler	1	5103820	99.75849%
SZ_maxerror_7_medaka	1	5111551	99.90404%
LFZip_maxerror_8_flye	1	5096489	99.64160000000001%
LFZip_maxerror_8_rebaler	1	5103425	99.74353%
LFZip_maxerror_8_medaka	1	5111298	99.90404%
SZ_maxerror_8_flye	1	5096510	99.64208500000001%
SZ_maxerror_8_rebaler	1	5103385	99.75149%
SZ_maxerror_8_medaka	1	5111245	99.90205%
LFZip_maxerror_9_flye	1	5095451	99.614765%
LFZip_maxerror_9_rebaler	1	5102822	99.73455%
LFZip_maxerror_9_medaka	1	5111061	99.89605%
SZ_maxerror_9_flye	1	5095038	99.604905%
SZ_maxerror_9_rebaler	1	5102804	99.72855%
SZ_maxerror_9_medaka	1	5110965	99.89804%
LFZip_maxerror_10_flye	1	5093945	99.5865%
LFZip_maxerror_10_rebaler	1	5102104	99.71563%
LFZip_maxerror_10_medaka	1	5110725	99.89405%
SZ_maxerror_10_flye	1	5093271	99.57114%
SZ_maxerror_10_rebaler	1	5101865	99.71266%
SZ_maxerror_10_medaka	1	5110561	99.88906%
