Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5108659	99.81819%	0.971	0.890	0.682	0.454	0.164	0.026
lossless_rebaler	1	5105902	99.82423%	0.973	0.896	0.731	0.580	0.345	0.179
lossless_medaka	1	5110953	99.88007%	0.985	0.960	0.874	0.795	0.584	0.410
LFZip_maxerror_1_flye	1	5108345	99.8192%	0.972	0.881	0.667	0.440	0.114	0.026
LFZip_maxerror_1_rebaler	1	5105732	99.81924%	0.974	0.888	0.715	0.569	0.262	0.179
LFZip_maxerror_1_medaka	1	5110831	99.87908%	0.985	0.954	0.875	0.781	0.575	0.410
SZ_maxerror_1_flye	1	5107974	99.80522%	0.972	0.882	0.669	0.448	0.164	0.077
SZ_maxerror_1_rebaler	1	5105853	99.81924%	0.974	0.888	0.727	0.569	0.317	0.282
SZ_maxerror_1_medaka	1	5110872	99.87208%	0.986	0.957	0.888	0.780	0.543	0.410
LFZip_maxerror_2_flye	1	5107714	99.79625%	0.970	0.881	0.668	0.412	0.140	0.026
LFZip_maxerror_2_rebaler	1	5105623	99.80028%	0.973	0.883	0.731	0.571	0.286	0.179
LFZip_maxerror_2_medaka	1	5110579	99.87108%	0.985	0.956	0.878	0.795	0.530	0.375
SZ_maxerror_2_flye	1	5107628	99.80424%	0.970	0.883	0.668	0.441	0.114	0.098
SZ_maxerror_2_rebaler	1	5105598	99.80128%	0.971	0.886	0.735	0.551	0.293	0.275
SZ_maxerror_2_medaka	1	5110689	99.87307%	0.986	0.955	0.876	0.783	0.532	0.436
LFZip_maxerror_3_flye	1	5107795	99.81224%	0.970	0.877	0.678	0.451	0.105	0.025
LFZip_maxerror_3_rebaler	1	5105530	99.80727%	0.972	0.882	0.733	0.571	0.276	0.231
LFZip_maxerror_3_medaka	1	5110560	99.87608%	0.984	0.955	0.880	0.761	0.559	0.400
SZ_maxerror_3_flye	1	5107951	99.82319%	0.970	0.882	0.670	0.440	0.119	0.051
SZ_maxerror_3_rebaler	1	5105414	99.8202%	0.973	0.884	0.725	0.573	0.266	0.171
SZ_maxerror_3_medaka	1	5110798	99.87807%	0.985	0.958	0.883	0.780	0.507	0.400
LFZip_maxerror_4_flye	1	5107854	99.80825%	0.969	0.884	0.665	0.446	0.132	0.000
LFZip_maxerror_4_rebaler	1	5105544	99.80327%	0.972	0.883	0.718	0.557	0.305	0.073
LFZip_maxerror_4_medaka	1	5110710	99.87208%	0.985	0.954	0.872	0.780	0.532	0.179
SZ_maxerror_4_flye	1	5107610	99.79029%	0.967	0.869	0.662	0.460	0.145	0.077
SZ_maxerror_4_rebaler	1	5105173	99.80629%	0.973	0.877	0.724	0.554	0.312	0.150
SZ_maxerror_4_medaka	1	5110518	99.86308%	0.985	0.951	0.872	0.790	0.577	0.410
LFZip_maxerror_5_flye	1	5107159	99.79132%	0.967	0.867	0.657	0.421	0.127	0.000
LFZip_maxerror_5_rebaler	1	5104987	99.78932%	0.970	0.874	0.717	0.528	0.303	0.205
LFZip_maxerror_5_medaka	1	5110347	99.86109%	0.984	0.949	0.872	0.751	0.557	0.268
SZ_maxerror_5_flye	1	5107276	99.78728%	0.964	0.865	0.641	0.423	0.118	0.026
SZ_maxerror_5_rebaler	1	5104518	99.79229%	0.967	0.873	0.713	0.557	0.267	0.128
SZ_maxerror_5_medaka	1	5110014	99.85908%	0.982	0.945	0.861	0.782	0.480	0.308
LFZip_maxerror_6_flye	1	5106746	99.77934%	0.965	0.856	0.642	0.426	0.113	0.000
LFZip_maxerror_6_rebaler	1	5104532	99.77637%	0.967	0.869	0.707	0.527	0.225	0.205
LFZip_maxerror_6_medaka	1	5109949	99.84612%	0.983	0.945	0.857	0.762	0.511	0.282
SZ_maxerror_6_flye	1	5107206	99.78134%	0.964	0.865	0.649	0.447	0.142	0.000
SZ_maxerror_6_rebaler	1	5104273	99.78335%	0.967	0.869	0.708	0.552	0.234	0.179
SZ_maxerror_6_medaka	1	5109769	99.86308%	0.982	0.946	0.866	0.775	0.509	0.342
LFZip_maxerror_7_flye	1	5106462	99.75537%	0.959	0.851	0.621	0.397	0.099	0.026
LFZip_maxerror_7_rebaler	1	5103807	99.75243%	0.963	0.861	0.703	0.520	0.259	0.128
LFZip_maxerror_7_medaka	1	5109753	99.82715%	0.979	0.939	0.853	0.743	0.486	0.231
SZ_maxerror_7_flye	1	5106334	99.76332%	0.960	0.848	0.626	0.406	0.095	0.050
SZ_maxerror_7_rebaler	1	5103617	99.75245%	0.963	0.858	0.691	0.543	0.295	0.179
SZ_maxerror_7_medaka	1	5109589	99.84013%	0.980	0.939	0.847	0.764	0.495	0.436
LFZip_maxerror_8_flye	1	5106081	99.74836%	0.956	0.838	0.625	0.405	0.101	0.000
LFZip_maxerror_8_rebaler	1	5102741	99.74654%	0.961	0.848	0.699	0.555	0.290	0.125
LFZip_maxerror_8_medaka	1	5108902	99.83016%	0.977	0.936	0.849	0.766	0.502	0.175
SZ_maxerror_8_flye	1	5105954	99.73939%	0.955	0.841	0.614	0.397	0.077	0.000
SZ_maxerror_8_rebaler	1	5103223	99.75243%	0.961	0.853	0.692	0.506	0.198	0.175
SZ_maxerror_8_medaka	1	5109203	99.8371%	0.977	0.936	0.848	0.739	0.432	0.385
LFZip_maxerror_9_flye	1	5105581	99.75138%	0.953	0.828	0.592	0.387	0.118	0.025
LFZip_maxerror_9_rebaler	1	5102712	99.73954%	0.958	0.841	0.662	0.520	0.226	0.205
LFZip_maxerror_9_medaka	1	5108911	99.82719%	0.976	0.926	0.832	0.747	0.441	0.300
SZ_maxerror_9_flye	1	5105528	99.74741%	0.954	0.831	0.603	0.388	0.082	0.000
SZ_maxerror_9_rebaler	1	5102625	99.73057%	0.959	0.846	0.678	0.534	0.207	0.150
SZ_maxerror_9_medaka	1	5108876	99.82518%	0.976	0.929	0.830	0.749	0.455	0.256
LFZip_maxerror_10_flye	1	5104793	99.72253%	0.948	0.818	0.583	0.357	0.095	0.000
LFZip_maxerror_10_rebaler	1	5102005	99.71367%	0.953	0.838	0.680	0.502	0.230	0.103
LFZip_maxerror_10_medaka	1	5108510	99.81517%	0.973	0.920	0.830	0.727	0.466	0.293
SZ_maxerror_10_flye	1	5104905	99.71158%	0.949	0.821	0.599	0.390	0.082	0.000
SZ_maxerror_10_rebaler	1	5102008	99.70864%	0.955	0.837	0.673	0.515	0.224	0.103
SZ_maxerror_10_medaka	1	5108509	99.80623%	0.975	0.927	0.833	0.728	0.443	0.205
