Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	5108853	99.89108%	0.988	0.919	0.718	0.475	0.095	0.026
lossless_rebaler	1	5108520	99.90507%	0.990	0.930	0.781	0.596	0.332	0.205
lossless_medaka	1	5111474	99.95301%	0.996	0.987	0.939	0.848	0.609	0.359
LFZip_maxerror_1_flye	1	5108709	99.89209%	0.988	0.915	0.706	0.454	0.100	0.026
LFZip_maxerror_1_rebaler	1	5108538	99.90505%	0.990	0.927	0.766	0.598	0.309	0.282
LFZip_maxerror_1_medaka	1	5111536	99.95101%	0.996	0.984	0.938	0.863	0.653	0.500
SZ_maxerror_1_flye	1	5108693	99.89209%	0.988	0.914	0.708	0.476	0.090	0.051
SZ_maxerror_1_rebaler	1	5108491	99.90107%	0.990	0.925	0.773	0.610	0.327	0.256
SZ_maxerror_1_medaka	1	5111535	99.94901%	0.996	0.985	0.936	0.861	0.641	0.513
LFZip_maxerror_2_flye	1	5108613	99.88908%	0.987	0.910	0.704	0.440	0.100	0.026
LFZip_maxerror_2_rebaler	1	5108387	99.89608%	0.989	0.925	0.775	0.597	0.288	0.103
LFZip_maxerror_2_medaka	1	5111467	99.94901%	0.996	0.986	0.936	0.856	0.622	0.282
SZ_maxerror_2_flye	1	5108537	99.88809%	0.987	0.915	0.702	0.459	0.123	0.000
SZ_maxerror_2_rebaler	1	5108350	99.89906%	0.990	0.926	0.763	0.581	0.277	0.128
SZ_maxerror_2_medaka	1	5111452	99.94601%	0.996	0.985	0.936	0.857	0.618	0.450
LFZip_maxerror_3_flye	1	5108511	99.88508%	0.986	0.908	0.703	0.442	0.104	0.026
LFZip_maxerror_3_rebaler	1	5108320	99.90208%	0.989	0.922	0.770	0.579	0.277	0.256
LFZip_maxerror_3_medaka	1	5111423	99.95001%	0.996	0.985	0.933	0.831	0.659	0.375
SZ_maxerror_3_flye	1	5108560	99.88908%	0.987	0.910	0.707	0.445	0.073	0.026
SZ_maxerror_3_rebaler	1	5108365	99.89808%	0.990	0.923	0.775	0.597	0.259	0.205
SZ_maxerror_3_medaka	1	5111464	99.95101%	0.996	0.986	0.941	0.853	0.597	0.359
LFZip_maxerror_4_flye	1	5108295	99.88209%	0.985	0.904	0.691	0.452	0.082	0.026
LFZip_maxerror_4_rebaler	1	5108229	99.89807%	0.988	0.920	0.769	0.585	0.282	0.128
LFZip_maxerror_4_medaka	1	5111378	99.94601%	0.995	0.983	0.927	0.831	0.623	0.385
SZ_maxerror_4_flye	1	5108334	99.8821%	0.986	0.903	0.687	0.467	0.082	0.051
SZ_maxerror_4_rebaler	1	5108301	99.89807%	0.989	0.922	0.767	0.588	0.309	0.179
