Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	59	4713091	99.95701%	0.992	0.978	0.946	0.869	0.725	0.571
lossless_rebaler	59	4699647	99.95851%	0.990	0.982	0.966	0.923	0.864	0.667
lossless_medaka	59	4699745	99.973995%	0.996	0.992	0.985	0.966	0.926	0.714
LFZip_maxerror_1_flye	53	4730797	99.949005%	0.991	0.973	0.945	0.888	0.768	0.400
LFZip_maxerror_1_rebaler	53	4723803	99.952515%	0.990	0.981	0.962	0.928	0.843	0.667
LFZip_maxerror_1_medaka	55	4718344	99.97201%	0.995	0.991	0.979	0.964	0.908	0.800
SZ_maxerror_1_flye	65	4700819	99.94901%	0.991	0.974	0.941	0.864	0.782	0.647
SZ_maxerror_1_rebaler	65	4690633	99.94302%	0.990	0.980	0.958	0.924	0.872	0.611
SZ_maxerror_1_medaka	66	4686970	99.96501%	0.995	0.990	0.976	0.956	0.915	0.706
LFZip_maxerror_2_flye	64	4695191	99.94287%	0.991	0.976	0.939	0.872	0.720	0.647
LFZip_maxerror_2_rebaler	64	4686590	99.94203%	0.990	0.980	0.959	0.912	0.859	0.889
LFZip_maxerror_2_medaka	64	4685267	99.97177%	0.995	0.991	0.977	0.950	0.883	0.944
SZ_maxerror_2_flye	61	4715930	99.93802%	0.989	0.974	0.937	0.863	0.749	0.471
SZ_maxerror_2_rebaler	61	4711474	99.93603%	0.988	0.980	0.958	0.909	0.841	0.611
SZ_maxerror_2_medaka	59	4704802	99.965%	0.994	0.991	0.980	0.950	0.891	0.824
LFZip_maxerror_3_flye	62	4695057	99.94502%	0.990	0.975	0.935	0.863	0.685	0.375
LFZip_maxerror_3_rebaler	62	4686664	99.95001%	0.989	0.981	0.954	0.928	0.853	0.765
LFZip_maxerror_3_medaka	62	4686522	99.968%	0.994	0.991	0.978	0.962	0.902	0.706
SZ_maxerror_3_flye	62	4741260	99.93802%	0.990	0.975	0.944	0.857	0.709	0.562
SZ_maxerror_3_rebaler	62	4733464	99.94102%	0.988	0.980	0.960	0.897	0.805	0.688
SZ_maxerror_3_medaka	63	4717024	99.96301%	0.994	0.991	0.978	0.958	0.878	0.812
LFZip_maxerror_4_flye	63	4708302	99.93652%	0.989	0.970	0.936	0.857	0.720	0.333
LFZip_maxerror_4_rebaler	63	4695314	99.93501%	0.988	0.977	0.958	0.910	0.870	0.467
LFZip_maxerror_4_medaka	65	4691459	99.959005%	0.994	0.989	0.981	0.951	0.914	0.400
SZ_maxerror_4_flye	67	4778889	99.942865%	0.988	0.971	0.933	0.828	0.785	0.688
SZ_maxerror_4_rebaler	67	4770036	99.92886%	0.989	0.980	0.956	0.891	0.865	0.933
SZ_maxerror_4_medaka	70	4758692	99.94636%	0.994	0.992	0.977	0.941	0.920	0.846
LFZip_maxerror_5_flye	63	4692020	99.92803%	0.987	0.968	0.929	0.843	0.742	0.467
LFZip_maxerror_5_rebaler	63	4680923	99.92523%	0.987	0.975	0.950	0.920	0.853	0.867
LFZip_maxerror_5_medaka	64	4678753	99.954955%	0.993	0.989	0.975	0.950	0.929	0.800
SZ_maxerror_5_flye	70	4703707	99.938525%	0.989	0.971	0.928	0.858	0.669	0.429
SZ_maxerror_5_rebaler	70	4694956	99.937015%	0.987	0.977	0.955	0.926	0.870	0.643
SZ_maxerror_5_medaka	71	4695029	99.96001000000001%	0.993	0.989	0.980	0.960	0.923	0.929
LFZip_maxerror_6_flye	67	4741834	99.929%	0.987	0.966	0.923	0.844	0.718	0.400
LFZip_maxerror_6_rebaler	67	4729537	99.92356000000001%	0.986	0.977	0.951	0.908	0.780	0.667
LFZip_maxerror_6_medaka	67	4730953	99.9465%	0.993	0.989	0.973	0.950	0.871	0.733
SZ_maxerror_6_flye	77	4699313	99.926515%	0.987	0.966	0.922	0.847	0.677	0.357
SZ_maxerror_6_rebaler	77	4692831	99.92401000000001%	0.985	0.976	0.956	0.915	0.819	0.467
SZ_maxerror_6_medaka	77	4693740	99.95644%	0.993	0.989	0.975	0.959	0.877	0.786
LFZip_maxerror_7_flye	65	4694335	99.92603%	0.985	0.964	0.923	0.801	0.705	0.538
LFZip_maxerror_7_rebaler	65	4684491	99.925525%	0.984	0.974	0.952	0.888	0.772	0.923
LFZip_maxerror_7_medaka	65	4683723	99.95551%	0.992	0.988	0.974	0.941	0.899	0.615
SZ_maxerror_7_flye	78	4676806	99.92603%	0.984	0.961	0.917	0.833	0.645	0.417
SZ_maxerror_7_rebaler	78	4672331	99.91986%	0.984	0.973	0.947	0.889	0.802	0.455
SZ_maxerror_7_medaka	77	4670095	99.95499%	0.992	0.986	0.974	0.933	0.866	0.750
LFZip_maxerror_8_flye	66	4708350	99.90106%	0.981	0.952	0.897	0.801	0.585	0.471
LFZip_maxerror_8_rebaler	66	4696340	99.88794%	0.980	0.971	0.939	0.888	0.771	0.647
LFZip_maxerror_8_medaka	67	4695332	99.931975%	0.990	0.984	0.965	0.932	0.862	0.667
SZ_maxerror_8_flye	64	4709584	99.91005%	0.981	0.951	0.907	0.797	0.636	0.333
SZ_maxerror_8_rebaler	64	4705429	99.91305%	0.982	0.966	0.940	0.886	0.771	0.643
SZ_maxerror_8_medaka	64	4699333	99.95501%	0.990	0.983	0.964	0.931	0.856	0.625
LFZip_maxerror_9_flye	59	4756107	99.90006%	0.978	0.952	0.894	0.794	0.637	0.278
LFZip_maxerror_9_rebaler	59	4753580	99.886075%	0.977	0.964	0.937	0.881	0.819	0.556
LFZip_maxerror_9_medaka	59	4755612	99.93052%	0.990	0.986	0.968	0.929	0.827	0.706
SZ_maxerror_9_flye	63	4716404	99.88106%	0.978	0.950	0.893	0.769	0.688	0.267
SZ_maxerror_9_rebaler	63	4704065	99.86503%	0.979	0.965	0.932	0.848	0.795	0.625
SZ_maxerror_9_medaka	61	4695846	99.92077%	0.989	0.982	0.962	0.905	0.851	0.500
LFZip_maxerror_10_flye	75	4758237	99.86409499999999%	0.973	0.937	0.874	0.740	0.527	0.278
LFZip_maxerror_10_rebaler	75	4746792	99.861125%	0.972	0.962	0.925	0.853	0.788	0.556
LFZip_maxerror_10_medaka	76	4742142	99.913045%	0.986	0.977	0.957	0.898	0.821	0.706
SZ_maxerror_10_flye	71	4733242	99.8561%	0.973	0.938	0.869	0.753	0.610	0.571
SZ_maxerror_10_rebaler	71	4721782	99.860105%	0.973	0.961	0.914	0.873	0.731	0.800
SZ_maxerror_10_medaka	71	4722428	99.908145%	0.986	0.979	0.951	0.920	0.824	0.769
