Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2898322	99.84422%	0.994	0.945	0.619	0.441	0.074	0.000
lossless_rebaler	1	2899486	99.869135%	0.995	0.945	0.728	0.675	0.309	0.571
lossless_medaka	1	2902852	99.94901%	0.998	0.993	0.976	0.958	0.784	0.667
LFZip_maxerror_1_flye	1	2898298	99.845225%	0.993	0.944	0.613	0.435	0.042	0.000
LFZip_maxerror_1_rebaler	1	2899438	99.86415%	0.994	0.945	0.722	0.671	0.302	0.200
LFZip_maxerror_1_medaka	1	2902792	99.94901%	0.998	0.993	0.977	0.955	0.833	0.333
SZ_maxerror_1_flye	1	2898366	99.856155%	0.994	0.947	0.615	0.432	0.053	0.000
SZ_maxerror_1_rebaler	1	2899398	99.854675%	0.994	0.946	0.713	0.670	0.337	0.333
SZ_maxerror_1_medaka	1	2902817	99.94801%	0.998	0.993	0.974	0.956	0.884	0.600
LFZip_maxerror_2_flye	1	2898311	99.845215%	0.993	0.943	0.619	0.450	0.042	0.000
LFZip_maxerror_2_rebaler	1	2899490	99.85567%	0.994	0.945	0.723	0.686	0.312	0.429
LFZip_maxerror_2_medaka	1	2902847	99.94901%	0.998	0.994	0.973	0.964	0.802	0.400
SZ_maxerror_2_flye	1	2898266	99.84870000000001%	0.994	0.944	0.608	0.439	0.053	0.000
SZ_maxerror_2_rebaler	1	2899435	99.85466500000001%	0.994	0.946	0.712	0.685	0.333	0.400
SZ_maxerror_2_medaka	1	2902841	99.94701%	0.998	0.993	0.972	0.956	0.835	0.667
LFZip_maxerror_3_flye	1	2898239	99.84472500000001%	0.993	0.943	0.608	0.452	0.021	0.000
LFZip_maxerror_3_rebaler	1	2899440	99.86265%	0.994	0.944	0.722	0.696	0.320	0.000
LFZip_maxerror_3_medaka	1	2902775	99.95%	0.998	0.994	0.976	0.959	0.833	0.200
SZ_maxerror_3_flye	1	2898204	99.84572%	0.993	0.943	0.600	0.457	0.074	0.000
SZ_maxerror_3_rebaler	1	2899338	99.85517999999999%	0.994	0.943	0.711	0.688	0.381	0.600
SZ_maxerror_3_medaka	1	2902827	99.94901%	0.998	0.993	0.973	0.947	0.844	0.333
LFZip_maxerror_4_flye	1	2897985	99.84272%	0.993	0.942	0.596	0.443	0.053	0.000
LFZip_maxerror_4_rebaler	1	2899351	99.85318000000001%	0.994	0.943	0.710	0.691	0.309	0.600
LFZip_maxerror_4_medaka	1	2902875	99.94601%	0.998	0.993	0.972	0.957	0.752	0.400
SZ_maxerror_4_flye	1	2898204	99.848715%	0.993	0.943	0.602	0.459	0.031	0.000
SZ_maxerror_4_rebaler	1	2899485	99.855175%	0.995	0.945	0.718	0.715	0.323	0.400
SZ_maxerror_4_medaka	1	2902871	99.947%	0.998	0.993	0.975	0.962	0.853	0.200
LFZip_maxerror_5_flye	1	2897972	99.83724000000001%	0.992	0.938	0.586	0.439	0.073	0.000
LFZip_maxerror_5_rebaler	1	2899359	99.847695%	0.994	0.941	0.703	0.697	0.300	0.200
LFZip_maxerror_5_medaka	1	2902840	99.94801%	0.998	0.992	0.973	0.951	0.842	0.600
SZ_maxerror_5_flye	1	2898036	99.83774%	0.992	0.939	0.591	0.446	0.042	0.000
SZ_maxerror_5_rebaler	1	2899484	99.84818%	0.993	0.943	0.720	0.709	0.281	0.200
SZ_maxerror_5_medaka	1	2902812	99.94601%	0.998	0.993	0.976	0.959	0.874	0.400
LFZip_maxerror_6_flye	1	2897669	99.82524000000001%	0.991	0.935	0.569	0.447	0.042	0.000
LFZip_maxerror_6_rebaler	1	2899323	99.847185%	0.993	0.938	0.708	0.724	0.371	0.000
LFZip_maxerror_6_medaka	1	2902890	99.94701%	0.998	0.992	0.976	0.961	0.874	0.333
SZ_maxerror_6_flye	1	2897901	99.831255%	0.992	0.940	0.573	0.430	0.042	0.000
SZ_maxerror_6_rebaler	1	2899263	99.844195%	0.993	0.940	0.700	0.708	0.309	0.200
SZ_maxerror_6_medaka	1	2902791	99.94601%	0.998	0.992	0.972	0.956	0.848	0.333
LFZip_maxerror_7_flye	1	2897628	99.82179%	0.991	0.934	0.556	0.432	0.021	0.000
LFZip_maxerror_7_rebaler	1	2899267	99.83221%	0.992	0.940	0.693	0.719	0.337	0.200
LFZip_maxerror_7_medaka	1	2902809	99.939%	0.998	0.991	0.967	0.955	0.800	0.400
SZ_maxerror_7_flye	1	2897583	99.820285%	0.990	0.933	0.551	0.442	0.053	0.000
SZ_maxerror_7_rebaler	1	2899421	99.843165%	0.993	0.943	0.707	0.733	0.340	0.400
SZ_maxerror_7_medaka	1	2902844	99.94301%	0.998	0.991	0.969	0.956	0.875	0.600
LFZip_maxerror_8_flye	1	2897346	99.81529%	0.989	0.927	0.533	0.414	0.042	0.000
LFZip_maxerror_8_rebaler	1	2899259	99.8387%	0.992	0.938	0.707	0.739	0.258	0.500
LFZip_maxerror_8_medaka	1	2902785	99.94001%	0.998	0.991	0.971	0.950	0.854	0.400
SZ_maxerror_8_flye	1	2897365	99.809335%	0.989	0.929	0.538	0.422	0.053	0.000
SZ_maxerror_8_rebaler	1	2899152	99.82821000000001%	0.991	0.938	0.680	0.732	0.286	0.400
SZ_maxerror_8_medaka	1	2902805	99.93901%	0.998	0.990	0.970	0.958	0.808	0.400
LFZip_maxerror_9_flye	1	2896962	99.79686000000001%	0.986	0.922	0.512	0.406	0.021	0.000
LFZip_maxerror_9_rebaler	1	2899199	99.817745%	0.989	0.938	0.695	0.738	0.327	0.333
LFZip_maxerror_9_medaka	1	2902737	99.93701%	0.997	0.988	0.963	0.954	0.844	0.333
SZ_maxerror_9_flye	1	2896987	99.798375%	0.988	0.924	0.495	0.402	0.021	0.000
SZ_maxerror_9_rebaler	1	2899094	99.80928%	0.991	0.934	0.683	0.723	0.327	0.000
SZ_maxerror_9_medaka	1	2902722	99.93402%	0.998	0.988	0.966	0.949	0.804	0.200
