Assembly	num_contigs	total_length	identity
lossless_flye	1	2895990	99.76101499999999%
lossless_rebaler	1	2897398	99.75395499999999%
lossless_medaka	1	2901426	99.90505%
LFZip_maxerror_1_flye	1	2895962	99.751065%
LFZip_maxerror_1_rebaler	1	2897294	99.751995%
LFZip_maxerror_1_medaka	1	2901462	99.90205%
SZ_maxerror_1_flye	1	2895993	99.757025%
SZ_maxerror_1_rebaler	1	2897366	99.76187999999999%
SZ_maxerror_1_medaka	1	2901419	99.90405%
LFZip_maxerror_2_flye	1	2896010	99.753945%
LFZip_maxerror_2_rebaler	1	2897302	99.749525%
LFZip_maxerror_2_medaka	1	2901384	99.90705%
SZ_maxerror_2_flye	1	2895957	99.75055499999999%
SZ_maxerror_2_rebaler	1	2897221	99.7539%
SZ_maxerror_2_medaka	1	2901399	99.90006%
LFZip_maxerror_3_flye	1	2895815	99.748075%
LFZip_maxerror_3_rebaler	1	2897241	99.74788000000001%
LFZip_maxerror_3_medaka	1	2901457	99.90205%
SZ_maxerror_3_flye	1	2895868	99.748005%
SZ_maxerror_3_rebaler	1	2897266	99.74649%
SZ_maxerror_3_medaka	1	2901458	99.89905%
LFZip_maxerror_4_flye	1	2895775	99.744585%
LFZip_maxerror_4_rebaler	1	2897283	99.74055999999999%
LFZip_maxerror_4_medaka	1	2901417	99.89706%
SZ_maxerror_4_flye	1	2895714	99.73913%
SZ_maxerror_4_rebaler	1	2897062	99.741575%
SZ_maxerror_4_medaka	1	2901357	99.89706%
LFZip_maxerror_5_flye	1	2895474	99.73512%
LFZip_maxerror_5_rebaler	1	2896952	99.73458%
LFZip_maxerror_5_medaka	1	2901330	99.89407%
SZ_maxerror_5_flye	1	2895567	99.73662%
SZ_maxerror_5_rebaler	1	2897136	99.73109500000001%
SZ_maxerror_5_medaka	1	2901362	99.89806%
LFZip_maxerror_6_flye	1	2895309	99.72121%
LFZip_maxerror_6_rebaler	1	2896856	99.71463%
LFZip_maxerror_6_medaka	1	2901278	99.88607%
SZ_maxerror_6_flye	1	2895221	99.723165%
SZ_maxerror_6_rebaler	1	2896845	99.71664000000001%
SZ_maxerror_6_medaka	1	2901249	99.88807%
LFZip_maxerror_7_flye	1	2894981	99.71421000000001%
LFZip_maxerror_7_rebaler	1	2896868	99.70720499999999%
LFZip_maxerror_7_medaka	1	2901092	99.88407%
SZ_maxerror_7_flye	1	2895005	99.719205%
SZ_maxerror_7_rebaler	1	2896740	99.71413%
SZ_maxerror_7_medaka	1	2901129	99.88009%
LFZip_maxerror_8_flye	1	2894590	99.70676%
LFZip_maxerror_8_rebaler	1	2896525	99.7027%
LFZip_maxerror_8_medaka	1	2900995	99.88209%
SZ_maxerror_8_flye	1	2894637	99.70025999999999%
SZ_maxerror_8_rebaler	1	2896515	99.693255%
SZ_maxerror_8_medaka	1	2901019	99.87509%
LFZip_maxerror_9_flye	1	2894238	99.67793499999999%
LFZip_maxerror_9_rebaler	1	2896300	99.685765%
LFZip_maxerror_9_medaka	1	2900870	99.86212%
SZ_maxerror_9_flye	1	2894148	99.67939%
SZ_maxerror_9_rebaler	1	2896209	99.67036%
SZ_maxerror_9_medaka	1	2900840	99.86411%
LFZip_maxerror_10_flye	1	2893665	99.65607%
LFZip_maxerror_10_rebaler	1	2895953	99.64996500000001%
LFZip_maxerror_10_medaka	1	2900675	99.85714%
SZ_maxerror_10_flye	1	2892992	99.62026%
SZ_maxerror_10_rebaler	1	2895579	99.62801%
SZ_maxerror_10_medaka	1	2900393	99.83516%
