Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	2	2915333	99.59985%	0.969	0.871	0.559	0.437	0.147	0.000
lossless_rebaler	2	2912779	99.54535%	0.968	0.855	0.609	0.555	0.347	0.250
lossless_medaka	2	2917607	99.721265%	0.978	0.922	0.810	0.758	0.531	0.300
LFZip_maxerror_1_flye	1	2899999	99.54511%	0.970	0.870	0.574	0.442	0.141	0.000
LFZip_maxerror_1_rebaler	1	2896505	99.5136%	0.966	0.850	0.615	0.580	0.306	0.167
LFZip_maxerror_1_medaka	1	2901267	99.65462%	0.977	0.915	0.820	0.766	0.530	0.000
SZ_maxerror_1_flye	1	2903594	99.58777%	0.971	0.863	0.551	0.423	0.113	0.000
SZ_maxerror_1_rebaler	1	2901200	99.54849%	0.968	0.847	0.619	0.561	0.243	0.000
SZ_maxerror_1_medaka	1	2906153	99.71936%	0.980	0.920	0.819	0.740	0.520	0.000
LFZip_maxerror_2_flye	3	2893673	99.63384500000001%	0.972	0.873	0.556	0.438	0.128	0.000
LFZip_maxerror_2_rebaler	3	2891136	99.57613%	0.968	0.851	0.611	0.593	0.290	0.167
LFZip_maxerror_2_medaka	3	2896309	99.74728999999999%	0.981	0.928	0.830	0.801	0.515	0.000
SZ_maxerror_2_flye	1	2899790	99.60495%	0.971	0.867	0.561	0.440	0.113	0.125
SZ_maxerror_2_rebaler	1	2897637	99.56653%	0.966	0.848	0.615	0.583	0.267	0.125
SZ_maxerror_2_medaka	1	2902786	99.71518%	0.979	0.920	0.822	0.767	0.460	0.333
LFZip_maxerror_3_flye	1	2898477	99.597985%	0.971	0.870	0.549	0.437	0.155	0.000
LFZip_maxerror_3_rebaler	1	2896237	99.545765%	0.967	0.848	0.616	0.564	0.313	0.000
LFZip_maxerror_3_medaka	1	2901325	99.70546%	0.980	0.925	0.816	0.765	0.562	0.143
SZ_maxerror_3_flye	1	2898507	99.572875%	0.969	0.868	0.547	0.413	0.188	0.000
SZ_maxerror_3_rebaler	1	2896451	99.513985%	0.965	0.850	0.615	0.575	0.314	0.000
SZ_maxerror_3_medaka	1	2901258	99.67251%	0.979	0.919	0.811	0.753	0.495	0.143
LFZip_maxerror_4_flye	1	2898908	99.558155%	0.967	0.867	0.559	0.452	0.116	0.000
LFZip_maxerror_4_rebaler	1	2896181	99.52360999999999%	0.963	0.846	0.617	0.585	0.255	0.000
LFZip_maxerror_4_medaka	1	2901202	99.68347%	0.976	0.918	0.825	0.780	0.567	0.000
SZ_maxerror_4_flye	1	2900677	99.51832%	0.966	0.861	0.537	0.457	0.141	0.000
SZ_maxerror_4_rebaler	1	2898302	99.503595%	0.963	0.847	0.605	0.588	0.291	0.333
SZ_maxerror_4_medaka	1	2903063	99.67053%	0.977	0.919	0.806	0.765	0.510	0.200
LFZip_maxerror_5_flye	1	2898330	99.58424500000001%	0.966	0.861	0.545	0.430	0.130	0.000
LFZip_maxerror_5_rebaler	1	2895962	99.515085%	0.963	0.843	0.602	0.570	0.288	0.143
LFZip_maxerror_5_medaka	1	2901101	99.67746%	0.976	0.913	0.815	0.761	0.436	0.222
SZ_maxerror_5_flye	1	2898886	99.54076%	0.964	0.859	0.541	0.430	0.122	0.000
