Assembly	num_contigs	total_length	identity
lossless_flye	1	2899045	99.72549000000001%
lossless_rebaler	1	2898084	99.725015%
lossless_medaka	1	2901555	99.80617%
LFZip_maxerror_1_flye	1	2899017	99.71149%
LFZip_maxerror_1_rebaler	1	2898033	99.69119%
LFZip_maxerror_1_medaka	1	2901521	99.80616%
SZ_maxerror_1_flye	1	2899088	99.739925%
SZ_maxerror_1_rebaler	1	2898087	99.74545%
SZ_maxerror_1_medaka	1	2901561	99.81814%
LFZip_maxerror_2_flye	1	2899115	99.73346000000001%
LFZip_maxerror_2_rebaler	1	2898129	99.73549%
LFZip_maxerror_2_medaka	1	2901624	99.8142%
SZ_maxerror_2_flye	1	2899034	99.70059%
SZ_maxerror_2_rebaler	1	2897962	99.69219000000001%
SZ_maxerror_2_medaka	1	2901446	99.79424%
LFZip_maxerror_3_flye	1	2899087	99.74146999999999%
LFZip_maxerror_3_rebaler	1	2897917	99.73203000000001%
LFZip_maxerror_3_medaka	1	2901450	99.8052%
SZ_maxerror_3_flye	1	2899050	99.731995%
SZ_maxerror_3_rebaler	1	2897914	99.72056%
SZ_maxerror_3_medaka	1	2901775	99.80817%
LFZip_maxerror_4_flye	1	2898870	99.709025%
LFZip_maxerror_4_rebaler	1	2897910	99.69064%
LFZip_maxerror_4_medaka	1	2901479	99.7902%
SZ_maxerror_4_flye	1	2898963	99.716505%
SZ_maxerror_4_rebaler	1	2897912	99.729445%
SZ_maxerror_4_medaka	1	2901520	99.80118%
LFZip_maxerror_5_flye	1	2898949	99.69561999999999%
LFZip_maxerror_5_rebaler	1	2897907	99.69654%
LFZip_maxerror_5_medaka	1	2901521	99.7812%
SZ_maxerror_5_flye	1	2898900	99.68270000000001%
SZ_maxerror_5_rebaler	1	2897701	99.670295%
SZ_maxerror_5_medaka	1	2901580	99.75624%
LFZip_maxerror_6_flye	1	2898850	99.68355%
LFZip_maxerror_6_rebaler	1	2897661	99.67166%
LFZip_maxerror_6_medaka	1	2901462	99.77222%
SZ_maxerror_6_flye	1	2898779	99.675715%
SZ_maxerror_6_rebaler	1	2897631	99.65336500000001%
SZ_maxerror_6_medaka	1	2901609	99.74925%
LFZip_maxerror_7_flye	1	2898598	99.68915%
LFZip_maxerror_7_rebaler	1	2897503	99.68870000000001%
LFZip_maxerror_7_medaka	1	2901453	99.77329%
SZ_maxerror_7_flye	1	2898685	99.641355%
SZ_maxerror_7_rebaler	1	2897570	99.64988%
SZ_maxerror_7_medaka	1	2901519	99.75628%
LFZip_maxerror_8_flye	1	2898543	99.641285%
LFZip_maxerror_8_rebaler	1	2897309	99.6279%
LFZip_maxerror_8_medaka	1	2901392	99.72231%
SZ_maxerror_8_flye	1	2898592	99.64234%
SZ_maxerror_8_rebaler	1	2897248	99.61651%
SZ_maxerror_8_medaka	1	2901336	99.7373%
LFZip_maxerror_9_flye	1	2898215	99.60797%
LFZip_maxerror_9_rebaler	1	2897069	99.59451%
LFZip_maxerror_9_medaka	1	2901108	99.72635%
SZ_maxerror_9_flye	1	2898375	99.576455%
SZ_maxerror_9_rebaler	1	2897192	99.58023%
SZ_maxerror_9_medaka	1	2901530	99.71646%
LFZip_maxerror_10_flye	1	2897896	99.56395%
LFZip_maxerror_10_rebaler	1	2896648	99.533995%
LFZip_maxerror_10_medaka	1	2900917	99.67254%
SZ_maxerror_10_flye	1	2897657	99.51867999999999%
SZ_maxerror_10_rebaler	1	2896703	99.49360999999999%
SZ_maxerror_10_medaka	1	2901185	99.62968%
