Assembly	num_contigs	total_length	identity	4mer_acc	5mer_acc	6mer_acc	7mer_acc	8mer_acc	9mer_acc
lossless_flye	1	2901795	99.983%	1.000	0.998	0.982	0.887	0.347	0.000
lossless_rebaler	1	2901803	99.987%	1.000	0.998	0.982	0.903	0.484	0.400
lossless_medaka	1	2902101	99.997%	1.000	1.000	0.998	0.990	0.747	0.800
LFZip_maxerror_1_flye	1	2901767	99.981%	1.000	0.998	0.981	0.884	0.316	0.000
LFZip_maxerror_1_rebaler	1	2901791	99.985%	1.000	0.998	0.980	0.912	0.463	0.400
LFZip_maxerror_1_medaka	1	2902085	99.995%	1.000	1.000	0.997	0.986	0.768	0.600
SZ_maxerror_1_flye	1	2901766	99.982%	1.000	0.998	0.980	0.893	0.274	0.000
SZ_maxerror_1_rebaler	1	2901782	99.985%	1.000	0.998	0.982	0.914	0.468	0.333
SZ_maxerror_1_medaka	1	2902087	99.995%	1.000	1.000	0.997	0.981	0.787	0.500
LFZip_maxerror_2_flye	1	2901731	99.981%	1.000	0.997	0.978	0.888	0.274	0.000
LFZip_maxerror_2_rebaler	1	2901771	99.984%	1.000	0.997	0.978	0.909	0.442	0.200
LFZip_maxerror_2_medaka	1	2901905	99.995%	1.000	1.000	0.996	0.985	0.747	0.800
SZ_maxerror_2_flye	1	2901753	99.982%	1.000	0.998	0.978	0.875	0.347	0.000
SZ_maxerror_2_rebaler	1	2901768	99.984%	1.000	0.998	0.978	0.891	0.526	0.200
SZ_maxerror_2_medaka	1	2902085	99.995%	1.000	1.000	0.997	0.984	0.768	0.800
LFZip_maxerror_3_flye	1	2901769	99.982%	1.000	0.997	0.980	0.888	0.305	0.000
LFZip_maxerror_3_rebaler	1	2901795	99.984%	1.000	0.998	0.979	0.907	0.453	0.600
LFZip_maxerror_3_medaka	1	2902098	99.995%	1.000	1.000	0.998	0.984	0.705	0.800
SZ_maxerror_3_flye	1	2901742	99.981%	1.000	0.997	0.978	0.874	0.368	0.000
SZ_maxerror_3_rebaler	1	2901780	99.983%	1.000	0.997	0.979	0.897	0.537	0.200
SZ_maxerror_3_medaka	1	2902089	99.994%	1.000	1.000	0.998	0.981	0.740	0.800
LFZip_maxerror_4_flye	1	2901709	99.979%	1.000	0.997	0.978	0.869	0.240	0.000
LFZip_maxerror_4_rebaler	1	2901765	99.983%	1.000	0.997	0.977	0.891	0.448	0.200
LFZip_maxerror_4_medaka	1	2902082	99.995%	1.000	0.999	0.997	0.976	0.726	0.600
SZ_maxerror_4_flye	1	2901705	99.98%	1.000	0.997	0.976	0.877	0.253	0.000
SZ_maxerror_4_rebaler	1	2901728	99.984%	1.000	0.997	0.978	0.897	0.400	0.000
SZ_maxerror_4_medaka	1	2902079	99.994%	1.000	1.000	0.997	0.980	0.705	0.400
LFZip_maxerror_5_flye	1	2901716	99.981%	1.000	0.997	0.978	0.873	0.242	0.000
LFZip_maxerror_5_rebaler	1	2901715	99.983%	1.000	0.996	0.977	0.889	0.421	0.200
LFZip_maxerror_5_medaka	1	2902074	99.994%	1.000	1.000	0.996	0.975	0.740	0.600
SZ_maxerror_5_flye	1	2901698	99.979%	1.000	0.997	0.976	0.866	0.242	0.000
SZ_maxerror_5_rebaler	1	2901734	99.982%	1.000	0.997	0.976	0.894	0.421	0.400
SZ_maxerror_5_medaka	1	2902084	99.995%	1.000	1.000	0.997	0.977	0.779	0.600
LFZip_maxerror_6_flye	1	2901648	99.979%	1.000	0.996	0.975	0.848	0.232	0.000
LFZip_maxerror_6_rebaler	1	2901700	99.981%	1.000	0.997	0.975	0.884	0.358	0.200
LFZip_maxerror_6_medaka	1	2902076	99.993%	1.000	0.999	0.998	0.974	0.663	0.600
SZ_maxerror_6_flye	1	2901660	99.979%	1.000	0.996	0.972	0.864	0.211	0.000
SZ_maxerror_6_rebaler	1	2901685	99.98%	1.000	0.996	0.976	0.875	0.442	0.000
SZ_maxerror_6_medaka	1	2902079	99.993%	1.000	0.999	0.996	0.977	0.737	0.600
LFZip_maxerror_7_flye	1	2901637	99.977%	1.000	0.996	0.973	0.858	0.189	0.000
LFZip_maxerror_7_rebaler	1	2901684	99.981%	1.000	0.996	0.972	0.880	0.411	0.400
