Assembly	num_contigs	total_length	identity
lossless_flye	1	5105114	99.80631%
lossless_rebaler	1	5106719	99.8352%
lossless_medaka	1	5112372	99.92502%
LFZip_maxerror_1_flye	1	5105094	99.80528%
LFZip_maxerror_1_rebaler	1	5106754	99.83321%
LFZip_maxerror_1_medaka	1	5112383	99.92502%
SZ_maxerror_1_flye	1	5105189	99.80729%
SZ_maxerror_1_rebaler	1	5106646	99.83319%
SZ_maxerror_1_medaka	1	5112352	99.92602%
LFZip_maxerror_2_flye	1	5105132	99.8073%
LFZip_maxerror_2_rebaler	1	5106718	99.83023%
LFZip_maxerror_2_medaka	1	5112378	99.92502%
SZ_maxerror_2_flye	1	5105106	99.80729%
SZ_maxerror_2_rebaler	1	5106755	99.8322%
SZ_maxerror_2_medaka	1	5112393	99.92602%
LFZip_maxerror_3_flye	1	5105018	99.79831%
LFZip_maxerror_3_rebaler	1	5106689	99.82621%
LFZip_maxerror_3_medaka	1	5112394	99.92601%
SZ_maxerror_3_flye	1	5104994	99.80429%
SZ_maxerror_3_rebaler	1	5106610	99.83419%
SZ_maxerror_3_medaka	1	5112326	99.92601%
LFZip_maxerror_4_flye	1	5104933	99.80231%
LFZip_maxerror_4_rebaler	1	5106626	99.83121%
LFZip_maxerror_4_medaka	1	5112349	99.92701%
SZ_maxerror_4_flye	1	5104977	99.80325%
SZ_maxerror_4_rebaler	1	5106646	99.83219%
SZ_maxerror_4_medaka	1	5112376	99.92502%
LFZip_maxerror_5_flye	1	5104836	99.8033%
LFZip_maxerror_5_rebaler	1	5106630	99.8342%
LFZip_maxerror_5_medaka	1	5112353	99.92701%
SZ_maxerror_5_flye	1	5104838	99.79835%
SZ_maxerror_5_rebaler	1	5106630	99.83121%
SZ_maxerror_5_medaka	1	5112368	99.926%
LFZip_maxerror_6_flye	1	5104660	99.79834%
LFZip_maxerror_6_rebaler	1	5106710	99.82722%
LFZip_maxerror_6_medaka	1	5112358	99.92602%
SZ_maxerror_6_flye	1	5104718	99.8033%
SZ_maxerror_6_rebaler	1	5106666	99.83121%
SZ_maxerror_6_medaka	1	5112364	99.92602%
LFZip_maxerror_7_flye	1	5104548	99.79529%
LFZip_maxerror_7_rebaler	1	5106575	99.83021%
LFZip_maxerror_7_medaka	1	5112422	99.92402%
SZ_maxerror_7_flye	1	5104494	99.79534%
SZ_maxerror_7_rebaler	1	5106529	99.82622%
SZ_maxerror_7_medaka	1	5112339	99.92402%
LFZip_maxerror_8_flye	1	5104218	99.79037%
LFZip_maxerror_8_rebaler	1	5106469	99.82221%
LFZip_maxerror_8_medaka	1	5112365	99.92202%
SZ_maxerror_8_flye	1	5104247	99.78538%
SZ_maxerror_8_rebaler	1	5106495	99.82223%
SZ_maxerror_8_medaka	1	5112291	99.92202%
LFZip_maxerror_9_flye	1	5103966	99.78735%
LFZip_maxerror_9_rebaler	1	5106549	99.81925%
LFZip_maxerror_9_medaka	1	5112326	99.92202%
SZ_maxerror_9_flye	1	5103863	99.78437%
SZ_maxerror_9_rebaler	1	5106470	99.82119%
SZ_maxerror_9_medaka	1	5112365	99.92002%
LFZip_maxerror_10_flye	1	5103636	99.78037%
LFZip_maxerror_10_rebaler	1	5106244	99.81129%
LFZip_maxerror_10_medaka	1	5112319	99.91803%
SZ_maxerror_10_flye	1	5103211	99.77139%
SZ_maxerror_10_rebaler	1	5106117	99.81026%
SZ_maxerror_10_medaka	1	5112218	99.91902%
