Assembly	num_contigs	total_length	identity
lossless_flye	1	5107485	99.8821%
lossless_rebaler	1	5108593	99.87609%
lossless_medaka	1	5111907	99.94501%
LFZip_maxerror_1_flye	1	5107440	99.8811%
LFZip_maxerror_1_rebaler	1	5108363	99.87311%
LFZip_maxerror_1_medaka	1	5111857	99.94201%
SZ_maxerror_1_flye	1	5107470	99.87612%
SZ_maxerror_1_rebaler	1	5108388	99.87411%
SZ_maxerror_1_medaka	1	5111796	99.94401%
LFZip_maxerror_2_flye	1	5107397	99.88011%
LFZip_maxerror_2_rebaler	1	5108319	99.8741%
LFZip_maxerror_2_medaka	1	5111892	99.94401%
SZ_maxerror_2_flye	1	5107343	99.87711%
SZ_maxerror_2_rebaler	1	5108240	99.8731%
SZ_maxerror_2_medaka	1	5111791	99.94401%
LFZip_maxerror_3_flye	1	5107188	99.8751%
LFZip_maxerror_3_rebaler	1	5108431	99.87211%
LFZip_maxerror_3_medaka	1	5111838	99.94301%
SZ_maxerror_3_flye	1	5107230	99.87513%
SZ_maxerror_3_rebaler	1	5108426	99.86912%
SZ_maxerror_3_medaka	1	5111946	99.94201%
LFZip_maxerror_4_flye	1	5107079	99.86911%
LFZip_maxerror_4_rebaler	1	5108239	99.87011%
LFZip_maxerror_4_medaka	1	5111880	99.94101%
SZ_maxerror_4_flye	1	5107046	99.87014%
SZ_maxerror_4_rebaler	1	5108218	99.86313%
SZ_maxerror_4_medaka	1	5111836	99.94201%
LFZip_maxerror_5_flye	1	5106840	99.86614%
LFZip_maxerror_5_rebaler	1	5108046	99.86314%
LFZip_maxerror_5_medaka	1	5111790	99.93802%
SZ_maxerror_5_flye	1	5106836	99.86613%
SZ_maxerror_5_rebaler	1	5108099	99.86613%
SZ_maxerror_5_medaka	1	5111784	99.94201%
LFZip_maxerror_6_flye	1	5106553	99.86016%
LFZip_maxerror_6_rebaler	1	5107833	99.86012%
LFZip_maxerror_6_medaka	1	5111735	99.94001%
SZ_maxerror_6_flye	1	5106534	99.85915%
SZ_maxerror_6_rebaler	1	5107814	99.85715%
SZ_maxerror_6_medaka	1	5111691	99.93702%
LFZip_maxerror_7_flye	1	5106091	99.85019%
LFZip_maxerror_7_rebaler	1	5107598	99.85016%
LFZip_maxerror_7_medaka	1	5111660	99.93402%
SZ_maxerror_7_flye	1	5106108	99.84717%
SZ_maxerror_7_rebaler	1	5107562	99.85216%
SZ_maxerror_7_medaka	1	5111576	99.93402%
LFZip_maxerror_8_flye	1	5105634	99.84317%
LFZip_maxerror_8_rebaler	1	5107151	99.84419%
LFZip_maxerror_8_medaka	1	5111448	99.93102%
SZ_maxerror_8_flye	1	5105577	99.84221%
SZ_maxerror_8_rebaler	1	5107229	99.84219%
SZ_maxerror_8_medaka	1	5111529	99.93502%
LFZip_maxerror_9_flye	1	5105117	99.83022%
LFZip_maxerror_9_rebaler	1	5106795	99.83319%
LFZip_maxerror_9_medaka	1	5111493	99.93002%
SZ_maxerror_9_flye	1	5104896	99.82427%
SZ_maxerror_9_rebaler	1	5106680	99.83319%
SZ_maxerror_9_medaka	1	5111415	99.92803%
LFZip_maxerror_10_flye	1	5104485	99.81529%
LFZip_maxerror_10_rebaler	1	5106483	99.8202%
LFZip_maxerror_10_medaka	1	5111289	99.92302%
SZ_maxerror_10_flye	1	5103847	99.80033%
SZ_maxerror_10_rebaler	1	5106191	99.80927%
SZ_maxerror_10_medaka	1	5111118	99.91504%
